data_id,judul_singkat,judul_tentang,relasi_peraturan,regulasi_rujukan,regulasi_tentang
197085,Permenkominfo No. 6 Tahun 2021,Penyelenggaraan Penyiaran,Mencabut,Permenkominfo No. 6 Tahun 2013,Perubahan atas Peraturan Menteri Komunikasi dan Informatika Nomor 17 Tahun 2012 Pelaksanaan Penetapan Penyelenggaraan Penyiaran Multipleksing
197085,Permenkominfo No. 6 Tahun 2021,Penyelenggaraan Penyiaran,Mencabut,Permenkominfo No. 40 Tahun 2012,Tata Cara Pengajuan Keberatan Terhadap Penjatuhan Sanksi Administratif Penyelenggaraan Penyiaran
197085,Permenkominfo No. 6 Tahun 2021,Penyelenggaraan Penyiaran,Mencabut,Permenkominfo No. 18 Tahun 2012,Tata Cara Perhitungan Tarif Sewa Saluran Siaran pada Penyelenggaraan Penyiaran Multipleksing
197085,Permenkominfo No. 6 Tahun 2021,Penyelenggaraan Penyiaran,Mencabut,Permenkominfo No. 17 Tahun 2012,Pelaksanaan Penetapan Penyelenggaraan Penyiaran Multipleksing
197085,Permenkominfo No. 6 Tahun 2021,Penyelenggaraan Penyiaran,Mencabut sebagian,Permenkominfo No. 7 Tahun 2019,"Perubahan atas Peraturan Menteri Komunikasi dan Informatika Nomor 7 Tahun 2018 Pelayanan Perizinan Berusaha Terintegrasi Secara Elektronik Bidang Komunikasi dan Informatika"
197085,Permenkominfo No. 6 Tahun 2021,Penyelenggaraan Penyiaran,Mencabut sebagian,Permenkominfo No. 7 Tahun 2018,"Pelayanan Perizinan Berusaha Terintegrasi Secara Elektronik Bidang Komunikasi Dan Informatika"
197085,Permenkominfo No. 6 Tahun 2021,Penyelenggaraan Penyiaran,Mencabut sebagian,Permenkominfo No. 5 Tahun 2018,"Pelaporan Perubahan Data Perizinan, Biaya Izin, Sistem Stasiun Jaringan, dan Daerah Ekonomi Maju dan Daerah Ekonomi Kurang Maju Dalam Penyelenggaraan Penyiaran"
197085,Permenkominfo No. 6 Tahun 2021,Penyelenggaraan Penyiaran,Mencabut sebagian,Permenkominfo No. 41 Tahun 2012,"Penyelenggaraan Penyiaran Lembaga Penyiaran Berlangganan Melalui Satelit, Kabel, dan Terestrial"
197085,Permenkominfo No. 6 Tahun 2021,Penyelenggaraan Penyiaran,Mencabut sebagian,Permenkominfo No. 39 Tahun 2012,"Tata Cara Pendirian dan Penyelenggaraan Penyiaran Lembaga Penyiaran Komunitas"
154306,Permenkominfo No. 41 Tahun 2012,"Penyelenggaraan Penyiaran Lembaga Penyiaran Berlangganan Melalui Satelit, Kabel, dan Terestrial",Dicabut sebagian,Permenkominfo No. 6 Tahun 2021,"Penyelenggaraan Penyiaran"
197086,Permenkominfo No. 3 Tahun 2019,Pelaksanaan Penyiaran Simulcast Dalam Rangka Persiapan Migrasi Sistem Penyiaran Televisi Analog ke Sistem Penyiaran Televisi Digital,Dicabut,Permenkominfo No. 6 Tahun 2021,Penyelenggaraan Penyiaran
147794,Permenkominfo No. 32 Tahun 2013,Penyelenggaraan Penyiaran Televisi Secara Digital dan Penyiaran Multipleksing Melalui Sistem Terestrial,Diubah,Permenkominfo No. 26 Tahun 2014,Perubahan Atas Peraturan Menteri Komunikasi Dan Informatika Nomor 32 Tahun 2013 Tentang Penyelenggaraan Penyiaran Televisi Secara Digital Dan Penyiaran Multipleksing Melalui Sistem Terestrial
147794,Permenkominfo No. 32 Tahun 2013,Penyelenggaraan Penyiaran Televisi Secara Digital dan Penyiaran Multipleksing Melalui Sistem Terestrial,Mencabut,Permenkominfo No. 22/PER/M.KOMINFO/11/2011 Tahun 2011,Penyelenggaraan Penyiaran Televisi Digital Terestrial Penerimaan Tetap Tidak Berbayar (Free To Air)
154649,PP No. 46 Tahun 2021,"Pos, Telekomunikasi, dan Penyiaran",Mengubah,PP No. 15 Tahun 2013,Pelaksanaan Undang Undang Nomor 38 Tahun 2009 Tentang Pos
154649,PP No. 46 Tahun 2021,"Pos, Telekomunikasi, dan Penyiaran",Mengubah,PP No. 52 Tahun 2005,Penyelenggaraan Penyiaran Lembaga Penyiaran Berlangganan
154649,PP No. 46 Tahun 2021,"Pos, Telekomunikasi, dan Penyiaran",Mengubah,PP No. 51 Tahun 2005,Penyelenggaraan Penyiaran Lembaga Penyiaran Komunitas
154649,PP No. 46 Tahun 2021,"Pos, Telekomunikasi, dan Penyiaran",Mengubah,PP No. 50 Tahun 2005,Penyelenggaraan Penyiaran Lembaga Penyiaran Swasta
154649,PP No. 46 Tahun 2021,"Pos, Telekomunikasi, dan Penyiaran",Mengubah,PP No. 11 Tahun 2005,Penyelenggaraan Penyiaran Lembaga Penyiaran Publik
154649,PP No. 46 Tahun 2021,"Pos, Telekomunikasi, dan Penyiaran",Mengubah,PP No. 53 Tahun 2000,Penggunaan Spektrum Frekuensi Radio Dan Orbit Satelit
154649,PP No. 46 Tahun 2021,"Pos, Telekomunikasi, dan Penyiaran",Mengubah,PP No. 52 Tahun 2000,Penyelenggaraan Telekomunikasi
149295,Permenkominfo No. 17 Tahun 2012,Pelaksanaan Penetapan Penyelenggaraan Penyiaran Multipleksing,Dicabut,Permenkominfo No. 6 Tahun 2021,Penyelenggaraan Penyiaran
149295,Permenkominfo No. 17 Tahun 2012,Pelaksanaan Penetapan Penyelenggaraan Penyiaran Multipleksing,Dicabut,Permenkominfo No. 18 Tahun 2018,Pencabutan Tiga Puluh Tiga Peraturan Menteri Komunikasi dan Informatika
149295,Permenkominfo No. 17 Tahun 2012,Pelaksanaan Penetapan Penyelenggaraan Penyiaran Multipleksing,Diubah,Permenkominfo No. 6 Tahun 2013,Perubahan atas Peraturan Menteri Komunikasi dan Informatika Nomor 17 Tahun 2012 Pelaksanaan Penetapan Penyelenggaraan Penyiaran Multipleksing
256297,Permenkominfo No. 12/P/M.KOMINFO/7/2005 Tahun 2005,Penghematan Energi Di Lingkungan Lembaga Penyiaran,Dicabut,Permenkominfo No. 26/P/M.KOMINFO/12/2005 Tahun 2005,Pencabutan Peraturan Menteri Komunikasi dan Informatika Nomor 12/P/M.KOMINFO/7/2005 Penghematan Energi di Lingkungan Lembaga Penyiaran
256297,Permenkominfo No. 12/P/M.KOMINFO/7/2005 Tahun 2005,Penghematan Energi Di Lingkungan Lembaga Penyiaran,Mencabut,Permenkominfo No. 11/P/M.KOMINFO/7/2005 Tahun 2005,"Pengurangan Waktu Siaran Lembaga Penyiaran Di Seluruh Indonesia"
38623,PP No. 13 Tahun 2005,Lembaga Penyiaran Publik Televisi Republik Indonesia,Diubah,PP No. 4 Tahun 2024,Perubahan atas Peraturan Pemerintah Nomor 13 Tahun 2005 Lembaga Penyiaran Publik Televisi Republik Indonesia
269801,PERDA Kota Pekalongan No. 10 Tahun 2022,Lembaga Penyiaran Publik Lokal Batik TV,Mencabut,Peraturan Daerah Kota Pekalongan No. 1 Tahun 2012,
256010,Permenkominfo No. 28/PER/M.KOMINFO/9/2008 Tahun 2008,Tata Cara dan Persyaratan Perizinan Penyelenggaraan Penyiaran,Dicabut,Permenkominfo No. 18 Tahun 2016, Persyaratan dan Tata Cara Perizinan Penyelenggaraan Penyiaran
38621,PP No. 12 Tahun 2005,Lembaga Penyiaran Publik Radio Republik Indonesia,Diubah,PP No. 3 Tahun 2024,Perubahan atas Peraturan Pemerintah Nomor 12 Tahun 2005 Lembaga Penyiaran Publik Radio Republik Indonesia
287525,PERDA Kab. Kendal No. 5 Tahun 2010,Perubahan atas Peraturan Daerah Kabupaten Kendal Nomor 7 Tahun 2006 tentang Penyelenggaraan Penyiaran Lembaga Penyiaran Publik Lokal Kabupaten Kendal,Mengubah,Peraturan Daerah Kabupaten Kendal No. 7 Tahun 2006 Tentang Penyelenggaraan Penyiaran Lembaga Penyiaran Publik Lokal Kabupaten Kendal,
298470,PERDA Kab. Kudus No. 8 Tahun 2010,Pendirian Lembaga Penyiaran Publik Lokal Kabupaten Kudus,Mencabut,Peraturan Daerah Kabupaten Daerah Tingkat II Kudus No. 16 Tahun 1991,Penggunaan Radio Siaran Pemerintah Daerah Kabupaten Daerah Tingkat II Kudus
142740,Permenkominfo No. 18 Tahun 2016,Persyaratan dan Tata Cara Perizinan Penyelenggaraan Penyiaran,Dicabut,Permenkominfo No. 6 Tahun 2021,Penyelenggaraan Penyiaran
142740,Permenkominfo No. 18 Tahun 2016,Persyaratan dan Tata Cara Perizinan Penyelenggaraan Penyiaran,Mencabut,Permenkominfo No. 18/PER/M.KOMINFO/3/2009 Tahun 2009,Tata Cara dan Proses Perizinan Penyelenggaraan Penyiaran oleh Pemerintah Daerah Provinsi dan Pemerintah Daerah Kabupaten/Kota
142740,Permenkominfo No. 18 Tahun 2016,Persyaratan dan Tata Cara Perizinan Penyelenggaraan Penyiaran,Mencabut,Permenkominfo No. 28/PER/M.KOMINFO/9/2008 Tahun 2008,Tata Cara dan Persyaratan Perizinan Penyelenggaraan Penyiaran
142740,Permenkominfo No. 18 Tahun 2016,Persyaratan dan Tata Cara Perizinan Penyelenggaraan Penyiaran,Mencabut,Permenkominfo No. 8/P/M.KOMINFO/3/2007 Tahun 2007,Tata Cara Perizinan dan Penyelenggaraan Penyiaran Lembaga Penyiaran Swasta
142740,Permenkominfo No. 18 Tahun 2016,Persyaratan dan Tata Cara Perizinan Penyelenggaraan Penyiaran,Mencabut,Permenkominfo No. 17/P/M.KOMINFO/6/2006 Tahun 2006,Tata Cara Penyesuaian Izin Penyelenggaraan Penyiaran bagi Lembaga Penyiaran Swasta yang Telah Memiliki Izin Stasiun Radio dari Direktorat Jenderal Pos dan Telekomunikasi dan/atau Izin Siaran Nasional untuk Televisi dari Departemen Penerangan dan bagi Lembaga Penyiaran Berlangganan yang Telah Memiliki Izin Penyelenggaraan Jasa Televisi berbayar dari Direktorat Jenderal Pos dan Telekomunikasi dan/atau Izin Penyelenggarann Siaran Televisi Berlangganan dari Departemen Penerangan
154302,Permenkominfo No. 38 Tahun 2012,Tata Cara Pelaporan Perubahan Data Perizinan Penyiaran,Dicabut,Permenkominfo No. 5 Tahun 2018,"Pelaporan Perubahan Data Perizinan, Biaya Izin, Sistem Stasiun Jaringan, dan Daerah Ekonomi Maju dan Daerah Ekonomi Kurang Maju Dalam Penyelenggaraan Penyiaran"
193018,PERDA Kota Pekalongan No. 10 Tahun 2021,Lembaga Penyiaran Publik Lokal Radio Kota Batik FM,Mencabut,"Peraturan Daerah No. 3 tahun 2007",Penyiaran Publik Lokal Radio Kota Batik FM
303270,PERDA Kota Salatiga No. 17 Tahun 2013,Lembaga Penyiaran Publik Lokal Radio Suara Salatiga,Mencabut,Peraturan Walikota Salatiga No. 14 Tahun 2006,Lembaga Penyiaran Publik Lokal Salatiga
199422,PERDA Kota Magelang No. 14 Tahun 2012,Lembaga Penyiaran Publik Lokal Radio Kota Magelang,Mencabut,Peraturan Walikota Magelang No. 45 Tahun 2011,
223114,Permenkominfo No. 7 Tahun 2022,Organisasi dan Tata Kerja Sekretariat Komisi Penyiaran Indonesia Pusat,Mencabut,Permenkominfo No. 9 Tahun 2013,Organisasi dan Tata Kerja Sekretariat Komisi Penyiaran Indonesia Pusat
256218,Permenkominfo No. 7/P/M.KOMINFO/3/2007 Tahun 2007,Standar Penyiaran Digital Terestrial Untuk Televisi Tidak Bergerak di Indonesia,Dicabut,Permenkominfo No. 5/PER/M.KOMINFO/2/2012 Tahun 2012,Standar Penyiaran Televisi Digital Terestrial Penerimaan Tetap Tidak Berbayar (Free-To-Air)
152491,Permenkominfo No. 22/P/M.KOMINFO/3/2007 Tahun 2007,Perubahan Kedua atas Peraturan Menteri Komunikasi dan Informatika Nomor : 08/P/M.KOMINFO/3/2007 Tentang Tata Cara Perizinan dan Penyelenggaraan Penyiaran Lembaga Penyiaran Swasta,Dicabut,Permenkominfo No. 18 Tahun 2018,Pencabutan Tiga Puluh Tiga Peraturan Menteri Komunikasi dan Informatika
152491,Permenkominfo No. 22/P/M.KOMINFO/3/2007 Tahun 2007,Perubahan Kedua atas Peraturan Menteri Komunikasi dan Informatika Nomor : 08/P/M.KOMINFO/3/2007 Tentang Tata Cara Perizinan dan Penyelenggaraan Penyiaran Lembaga Penyiaran Swasta,Mengubah,Permenkominfo No. 8/P/M.KOMINFO/3/2007 Tahun 2007,Tata Cara Perizinan dan Penyelenggaraan Penyiaran Lembaga Penyiaran Swasta
152491,Permenkominfo No. 22/P/M.KOMINFO/3/2007 Tahun 2007,Perubahan Kedua atas Peraturan Menteri Komunikasi dan Informatika Nomor : 08/P/M.KOMINFO/3/2007 Tentang Tata Cara Perizinan dan Penyelenggaraan Penyiaran Lembaga Penyiaran Swasta,Mengubah,Permenkominfo No. 15/P/M.KOMINFO/4/2007 Tahun 2007,Perubahan atas Peraturan Menteri Komunikasi dan Informatika Nomor : 08/P/M.KOMINFO/3/2007 Tata Cara Perizinan dan Penyelenggaraan Penyiaran Lembaga Penyiaran Swasta
152480,Permenkominfo No. 15/P/M.KOMINFO/4/2007 Tahun 2007,Perubahan atas Peraturan Menteri Komunikasi dan Informatika Nomor : 08/P/M.KOMINFO/3/2007 tentang Tata Cara Perizinan dan Penyelenggaraan Penyiaran Lembaga Penyiaran Swasta,Dicabut,Permenkominfo No. 18 Tahun 2018,Pencabutan Tiga Puluh Tiga Peraturan Menteri Komunikasi dan Informatika
152480,Permenkominfo No. 15/P/M.KOMINFO/4/2007 Tahun 2007,Perubahan atas Peraturan Menteri Komunikasi dan Informatika Nomor : 08/P/M.KOMINFO/3/2007 tentang Tata Cara Perizinan dan Penyelenggaraan Penyiaran Lembaga Penyiaran Swasta,Diubah,Permenkominfo No. 22/P/M.KOMINFO/3/2007 Tahun 2007,Perubahan Kedua atas Peraturan Menteri Komunikasi dan Informatika Nomor : 08/P/M.KOMINFO/3/2007 Tentang Tata Cara Perizinan dan Penyelenggaraan Penyiaran Lembaga Penyiaran Swasta
152480,Permenkominfo No. 15/P/M.KOMINFO/4/2007 Tahun 2007,Perubahan atas Peraturan Menteri Komunikasi dan Informatika Nomor : 08/P/M.KOMINFO/3/2007 tentang Tata Cara Perizinan dan Penyelenggaraan Penyiaran Lembaga Penyiaran Swasta,Mengubah,Permenkominfo No. 8/P/M.KOMINFO/3/2007 Tahun 2007,Tata Cara Perizinan dan Penyelenggaraan Penyiaran Lembaga Penyiaran Swasta
152480,Permenkominfo No. 15/P/M.KOMINFO/4/2007 Tahun 2007,Perubahan atas Peraturan Menteri Komunikasi dan Informatika Nomor : 08/P/M.KOMINFO/3/2007 tentang Tata Cara Perizinan dan Penyelenggaraan Penyiaran Lembaga Penyiaran Swasta,Mengubah,Peraturan Menteri Komunikasi Dan Informatika No. : 08/P/M.KOMINFO/3/2007 Tentang Tata Cara Perizinan Dan Penyelenggaraan Penyiaran Lembaga Penyiaran Swasta,
143548,Permenkominfo No. 26 Tahun 2014,Perubahan Atas Peraturan Menteri Komunikasi Dan Informatika Nomor 32 Tahun 2013 Tentang Penyelenggaraan Penyiaran Televisi Secara Digital Dan Penyiaran Multipleksing Melalui Sistem Terestrial,Mencabut,Permenkominfo No. 22/PER/M.KOMINFO/11/2011 Tahun 2011,Penyelenggaraan Penyiaran Televisi Digital Terestrial Penerimaan Tetap Tidak Berbayar (Free To Air)
143548,Permenkominfo No. 26 Tahun 2014,Perubahan Atas Peraturan Menteri Komunikasi Dan Informatika Nomor 32 Tahun 2013 Tentang Penyelenggaraan Penyiaran Televisi Secara Digital Dan Penyiaran Multipleksing Melalui Sistem Terestrial,Mengubah,Permenkominfo No. 32 Tahun 2013,Penyelenggaraan Penyiaran Televisi Secara Digital dan Penyiaran Multipleksing Melalui Sistem Terestrial
154304,Permenkominfo No. 40 Tahun 2012,Tata Cara Pengajuan Keberatan Terhadap Penjatuhan Sanksi Administratif Penyelenggaraan Penyiaran,Dicabut,Permenkominfo No. 6 Tahun 2021,Penyelenggaraan Penyiaran
296552,PERDA Kab. Pemalang No. 11 Tahun 2022,Lembaga Penyiaran Publik Lokal Radio Swara Widuri Kabupaten Pemalang,Mencabut,"Peraturan Daerah No. 21 tahun 2006","Pembentukan Lembaga Penyiaran Publik Lokal Radio Swara Widuri"
154336,Permenkominfo No. 9 Tahun 2013,Organisasi dan Tata Kerja Sekretariat Komisi Penyiaran Indonesia Pusat,Dicabut,Permenkominfo No. 7 Tahun 2022,Organisasi dan Tata Kerja Sekretariat Komisi Penyiaran Indonesia Pusat
154336,Permenkominfo No. 9 Tahun 2013,Organisasi dan Tata Kerja Sekretariat Komisi Penyiaran Indonesia Pusat,Mencabut,Permenkominfo No. 10/PER/M.KOMINFO/3/2011 Tahun 2011,Organisasi dan Tata Kerja Sekretariat Komisi Penyiaran Indonesia Pusat
297484,PERDA Kab. Wonogiri No. 14 Tahun 2012,Lembaga Penyiaran Publik Lokal Radio Giri Swara Kabupaten Wonogiri,Mencabut,Peraturan Daerah Kabupaten Daerah Tingkat II Wonogiri No. 12 Tahun 198,
297484,PERDA Kab. Wonogiri No. 14 Tahun 2012,Lembaga Penyiaran Publik Lokal Radio Giri Swara Kabupaten Wonogiri,Mencabut,Peraturan Daerah Kabupaten Daerah Tingkat II Wonogiri No. 20 Tahun 1993,
154103,Permenkominfo No. 10/PER/M.KOMINFO/3/2011 Tahun 2011,Organisasi dan Tata Kerja Sekretariat Komisi Penyiaran Indonesia Pusat,Dicabut,Permenkominfo No. 9 Tahun 2013,Organisasi dan Tata Kerja Sekretariat Komisi Penyiaran Indonesia Pusat
154103,Permenkominfo No. 10/PER/M.KOMINFO/3/2011 Tahun 2011,Organisasi dan Tata Kerja Sekretariat Komisi Penyiaran Indonesia Pusat,Mencabut,Keputusan Menteri Komunikasi dan Informatika No. 51A/KEP/M.KOMINFO/8/2004,Organisasi dan Tata Kerja Komisi Penyiaran Indonesia Pusat
149296,Permenkominfo No. 18 Tahun 2012,Tata Cara Perhitungan Tarif Sewa Saluran Siaran pada Penyelenggaraan Penyiaran Multipleksing,Dicabut,Permenkominfo No. 6 Tahun 2021,Penyelenggaraan Penyiaran
149296,Permenkominfo No. 18 Tahun 2012,Tata Cara Perhitungan Tarif Sewa Saluran Siaran pada Penyelenggaraan Penyiaran Multipleksing,Diubah,Permenkominfo No. 27 Tahun 2014,Perubahan Atas Peraturan Menteri Komunikasi Dan Informatika Nomor 18 Tahun 2012 Tentang Tata Cara Perhitungan Tarif Sewa Saluran Siaran Pada Penyelenggaraan Penyiaran Multipleksing
147948,Permenkominfo No. 5/PER/M.KOMINFO/2/2012 Tahun 2012,Standar Penyiaran Televisi Digital Terestrial Penerimaan Tetap Tidak Berbayar (Free-To-Air),Dicabut,Permenkominfo No. 6 Tahun 2019,Rencana Induk Frekuensi Radio untuk Keperluan Penyelenggaraan Televisi Siaran Digital Terestrial pada Pita Frekuensi Radio Ultra High Frequency
147948,Permenkominfo No. 5/PER/M.KOMINFO/2/2012 Tahun 2012,Standar Penyiaran Televisi Digital Terestrial Penerimaan Tetap Tidak Berbayar (Free-To-Air),Mencabut,Permenkominfo No. 7/P/M.KOMINFO/3/2007 Tahun 2007,Standar Penyiaran Digital Terestrial Untuk Televisi Tidak Bergerak di Indonesia
216753,PERDA Kab. Semarang No. 4 Tahun 2013,Pendirian Lembaga Penyiaran Publik Lokal Radio Suara Serasi Kabupaten Semarang,Mencabut,"Peraturan Daerah Kabupaten Semarang No. 18 Tahun 2004",
249678,PERBUP Kab. Purbalingga No. 14 Tahun 2017,Lembaga Penyiaran Publik Lokal Radio Gema Soedirman Pemerintah Kabupaten Purbalingga,Mencabut,Peraturan Bupati Purbalingga No. 42 Taahun 2013,"Lembaga Penyiaran Publik Lokal Radio Ardi Lawet FM Kabupaten Purbalingga
dicabut dan dinyatakan tidak berlaku"
249678,PERBUP Kab. Purbalingga No. 14 Tahun 2017,Lembaga Penyiaran Publik Lokal Radio Gema Soedirman Pemerintah Kabupaten Purbalingga,Mencabut,"Peraturan Bupati Purbalingga No. 43 Tahun 2013 Tentang Lembaga Penyiaran Publik Lokal Radio Suara Perwira Kabupaten Purbalingga
dicabut dan dinyatakan tidak berlaku",
150096,Permenkominfo No. 22/PER/M.KOMINFO/11/2011 Tahun 2011,Penyelenggaraan Penyiaran Televisi Digital Terestrial Penerimaan Tetap Tidak Berbayar (Free To Air),Dicabut,Permenkominfo No. 26 Tahun 2014,Perubahan Atas Peraturan Menteri Komunikasi Dan Informatika Nomor 32 Tahun 2013 Tentang Penyelenggaraan Penyiaran Televisi Secara Digital Dan Penyiaran Multipleksing Melalui Sistem Terestrial
150096,Permenkominfo No. 22/PER/M.KOMINFO/11/2011 Tahun 2011,Penyelenggaraan Penyiaran Televisi Digital Terestrial Penerimaan Tetap Tidak Berbayar (Free To Air),Dicabut,Permenkominfo No. 32 Tahun 2013,Penyelenggaraan Penyiaran Televisi Secara Digital dan Penyiaran Multipleksing Melalui Sistem Terestrial
150096,Permenkominfo No. 22/PER/M.KOMINFO/11/2011 Tahun 2011,Penyelenggaraan Penyiaran Televisi Digital Terestrial Penerimaan Tetap Tidak Berbayar (Free To Air),Mencabut,Permenkominfo No. 39/PER/M.KOMINFO/10/2009 Tahun 2009,Kerangka Dasar Penyelenggaraan Penyiaran Televisi Digital Terestrial Penerimaan Tetap Tidak Berbayar (Free To Air)
73218,PERPRES No. 26 Tahun 2005,"Honorarium Bagi Ketua, Wakil Ketua, dan Anggota Komisi Penyiaran Indonesia Pusat",Dicabut,PERPRES No. 84 Tahun 2015,"Honorarium bagi Ketua, Wakil Ketua, dan Anggota Komisi Penyiaran Indonesia Pusat"
34811,PERPRES No. 118 Tahun 2015,Tunjangan Kinerja Pegawai di Lingkungan Lembaga Penyiaran Publik Radio Republik Indonesia,Dicabut,PERPRES No. 13 Tahun 2020,Tunjangan Kinerja Pegawai di Lingkungan Lembaga Penyiaran Publik Radio Republik Indonesia
122189,PERPRES No. 13 Tahun 2020,Tunjangan Kinerja Pegawai di Lingkungan Lembaga Penyiaran Publik Radio Republik Indonesia,Mencabut,PERPRES No. 118 Tahun 2015,Tunjangan Kinerja Pegawai di Lingkungan Lembaga Penyiaran Publik Radio Republik Indonesia
89175,PERGUB Prov. DKI Jakarta No. 74 Tahun 2018,Pembubaran Unit Pelaksana Teknis Sekretariat Komisi Penyiaran Dan Komisi Informasi Provinsi,Mencabut,Peraturan Gubernur No. 305 Tahun 2016,"Pembentukan, Organisasi dan Tata Kerja Sekretariat Komisi Penyiaran dan Komisi Informasi Provinsi (Berita Daerah Provinsi Daerah Khusus Ibukota Jakarta Tahun 2016 No. 62202)"
254658,Permenkominfo No. 24/PER/M.KOMINFO/5/2009 Tahun 2009,Petunjuk Pelaksanaan Penerimaan Negara Bukan Pajak yang Berasal dari Penyelenggaraan Penyiaran,Dicabut,Permenkominfo No. 5 Tahun 2018,"Pelaporan Perubahan Data Perizinan, Biaya Izin, Sistem Stasiun Jaringan, dan Daerah Ekonomi Maju dan Daerah Ekonomi Kurang Maju Dalam Penyelenggaraan Penyiaran"
